,features,1_fold_column_mean,1_fold_column_std,2_fold_column_mean,2_fold_column_std,3_fold_column_mean,3_fold_column_std,4_fold_column_mean,4_fold_column_std,5_fold_column_mean,5_fold_column_std
1204,sao2__fourier_entropy__bins_10,0.4306630994039272,0.3921174840721982,0.3912739145997635,0.40539367582277597,0.37791494291421923,0.38711045452569953,0.41957852057909395,0.40647044106835173,0.41833510936029855,0.4061991867919953
1205,sao2__fourier_entropy__bins_100,1.40409198193568,1.0522473688682477,1.2621645291198096,1.0823873875705743,1.2237769050003973,1.0579112512816304,1.3675354749942052,1.0775813934223966,1.3458089826073485,1.0801463359309253
1206,sao2__kurtosis,12.47994451854572,20.50008758818924,9.979106259311365,18.380690971759016,10.435824833984054,20.379084154501502,12.620872180544671,21.028708615179266,11.487070727123157,20.463789477381287
1207,sao2__last_location_of_maximum,0.6428035836011283,0.36502864039845884,0.6423350992967108,0.37946102334847165,0.6352844996729874,0.38332121012665576,0.6334769002451915,0.3741903920649459,0.637850376957277,0.3711004908843821
1208,sao2__last_location_of_minimum,0.5255136819553986,0.36713296627329717,0.5234191529572129,0.3813173301244902,0.537020772991995,0.3820373431426696,0.5319283133307517,0.3684147628675869,0.523134544751593,0.3785086286446657
1209,sao2__lempel_ziv_complexity__bins_10,0.19362482552666574,0.045703955292925084,0.1982479784366572,0.046521840437132346,0.1974866859758942,0.04793536422701845,0.1948799845141305,0.047239771094327976,0.19882563309491563,0.0473290606606557
1210,sao2__lempel_ziv_complexity__bins_5,0.12914759632551007,0.0319234436368301,0.13256498435418382,0.030536391705862993,0.13281322993553163,0.03170798325549131,0.13025390372951307,0.031877388358056355,0.1323796636381206,0.03245785394661684
1211,"sao2__linear_trend__attr_""intercept""",93.19442480354022,7.402079587595695,93.4862258103871,6.397152622523492,93.09234823915607,7.316272876292247,93.20036953040112,7.341592948105826,93.3127591966293,6.8159164416433695
1212,"sao2__linear_trend__attr_""pvalue""",0.1002300169233681,0.23476846998112672,0.07540298081147469,0.1942095902431241,0.08824129016716001,0.21943079461905615,0.08836301791126393,0.21761795553404364,0.08592887293779473,0.21419015225527419
1213,"sao2__linear_trend__attr_""rvalue""",-0.03752168546683507,0.5466857521130022,-0.021740151169001038,0.6096549265203628,-0.032355039613169365,0.6217954424509495,-0.03898685873277899,0.5880937047768825,-0.03899197639120966,0.5821304343117681
1214,"sao2__linear_trend__attr_""slope""",0.00031037522235252815,0.014775622181063482,0.00020297136255766583,0.013532829654970782,-0.0009744961824675949,0.015111732724478529,-0.0004983719089760083,0.01531383114037,-0.00027692360677044004,0.012595202794770102
1215,"sao2__linear_trend__attr_""stderr""",0.001393868938866407,0.0012511842650508283,0.001213184638703425,0.0012432115907702655,0.0011437762528510218,0.0012529131672133211,0.0012568881470740873,0.001233463946136842,0.0013112829978920075,0.0012730933762301706
1216,"sao2__matrix_profile__feature_""25""__threshold_0.98",3.0313423476833328,2.945551699397542,2.6721233683891104,2.9850251391647404,2.725666730163925,3.0763403739354542,2.796935697745405,3.015408540959656,2.8583471225250103,2.9393637363374316
1217,sao2__mean,93.25944841262327,6.537863148564969,93.528748310843,5.7734247123197155,92.88819128892915,7.0032899458783815,93.09596061547069,6.978158306881038,93.25474370101112,6.349056232099197
1218,sao2__mean_abs_change,0.8585822579831082,0.8793497529355031,0.7737416799845752,0.8710218073381397,0.6845352106452609,0.7953952510812736,0.8074388030386933,0.8637281525745735,0.844429499796052,0.9319947176628461
1219,sao2__number_peaks__n_1,34.40695296523517,27.04975406561134,31.594664931685102,27.642462082610777,29.873119686069327,27.40111402569213,33.02439024390244,28.497196195834206,33.07374830852503,28.10562622676034
1220,sao2__partial_autocorrelation__lag_1,0.8425411943227069,0.14726204753223224,0.8540509552959287,0.15238500730387872,0.8640719220752986,0.14059109312891033,0.8425851287959208,0.14950049224171552,0.8476475469076302,0.14324404897063892
1221,sao2__partial_autocorrelation__lag_2,-0.026553859386333718,0.1709080454871118,-0.0024635093876994476,0.1498509284092796,-0.001679110899853233,0.14428880036921926,-0.009620085077261973,0.16999493610992775,-0.015168739550843411,0.15055955616467237
1222,sao2__partial_autocorrelation__lag_3,0.08263114391848955,0.16634797313475366,0.07501202511787552,0.1587854402959465,0.06344257187562129,0.09748469576604492,0.07900783366607385,0.16626404629542377,0.07014807985940087,0.11108571331970625
1223,sao2__partial_autocorrelation__lag_4,0.030442027607358105,0.14674454911568172,0.03697832731396806,0.1445265766708324,0.026792197549174675,0.07922993308188991,0.037771513700045396,0.1476513554621668,0.02239266277747578,0.08373465607649139
1224,sao2__partial_autocorrelation__lag_5,0.015291195580163624,0.1060156967040944,0.014730881459465316,0.10401682339672437,0.018242504344314944,0.07672659107477345,0.02036136730274416,0.10423803609575615,0.02036280424649634,0.07583632549456096
1225,sao2__partial_autocorrelation__lag_7,0.021625598398412087,0.11633312499140167,0.020700732984384823,0.11401575155982073,0.013278510252339575,0.06396677988053247,0.022385219945763382,0.11280083036536387,0.012913524789482255,0.06521718670527657
1226,sao2__partial_autocorrelation__lag_8,0.007809103452879489,0.10932341760591756,0.004882588147441583,0.10946254151750599,0.00828375228015413,0.06684303839497946,0.005547262386090447,0.11130774224354911,0.01106612676826436,0.06395405215211511
1227,sao2__partial_autocorrelation__lag_9,-0.15045858649063967,2.1315469116435226,-0.14671007029367666,2.0825205665952953,0.012461801378884274,0.06009311670896557,-0.15350092199440568,2.1245891189582036,0.017066350542177592,0.06216752107819784
1228,sao2__permutation_entropy__dimension_3__tau_1,1.0781739071390872,0.6103843691623517,0.9729356573303349,0.6634759266324579,0.9435607168169251,0.6603705116364518,0.9987118788355922,0.6605502058175743,1.0355682337233634,0.6452816882409717
1229,sao2__permutation_entropy__dimension_4__tau_1,1.766661358060804,1.042027392665501,1.6044841892629922,1.1272824220587403,1.5500204811323686,1.1163130244109791,1.6491949006417608,1.1244784931108252,1.701278602585665,1.101161425557357
1230,sao2__permutation_entropy__dimension_5__tau_1,2.4525497385918453,1.4940561596838138,2.233088204298517,1.607184307940192,2.1518034025118893,1.5863423067036007,2.2983783890199994,1.6056048357778674,2.3648550522434,1.5758540175559488
1231,sao2__permutation_entropy__dimension_6__tau_1,2.98862202486552,1.8447644828371208,2.7249892434123892,1.9807875871048997,2.628139235410289,1.956042723000628,2.8050821592634625,1.9784578684867153,2.8832764033938076,1.9448767373981959
